iter	Logloss
0	0.6706493304
1	0.6507276786
2	0.6324699219
3	0.6163155692
4	0.6020362165
5	0.5891064732
6	0.5775926897
7	0.567450279
8	0.558208817
9	0.5500380022
10	0.5424770647
11	0.5351760603
12	0.5288174665
13	0.5235611049
14	0.5186679687
15	0.5140395089
16	0.5098764509
17	0.5063441406
18	0.5028446987
19	0.5001163504
20	0.497327567
21	0.4947938058
22	0.4926504464
23	0.4905369978
24	0.4888188058
25	0.4872476562
26	0.485838058
27	0.4845390067
28	0.4832872768
29	0.4822390625
30	0.481288058
31	0.4803392299
32	0.4794540179
33	0.4785600446
34	0.4777876674
35	0.4771420759
36	0.4763905134
37	0.4758198661
38	0.4753754464
39	0.474806529
40	0.4742530134
41	0.473803125
42	0.4732895089
43	0.4728681362
44	0.4724731585
45	0.4721373884
46	0.4718026786
47	0.4715256696
48	0.4711875
49	0.4708225446
50	0.4705351562
51	0.4702928013
52	0.4700329241
53	0.4697851004
54	0.4695780134
55	0.4693546875
56	0.4690871652
57	0.4688962612
58	0.4687071987
59	0.4685686384
60	0.4684126674
61	0.4682449219
62	0.4680865513
63	0.4678773996
64	0.4677954799
65	0.4676475446
66	0.4674919643
67	0.4673469587
68	0.4671845703
69	0.4670322824
70	0.4668679687
71	0.4667305804
72	0.4666168248
73	0.4664811663
74	0.4663527902
75	0.4662478795
76	0.4661903181
77	0.4661069475
78	0.4660098772
79	0.4658783761
80	0.4658026228
81	0.4657247768
82	0.465655692
83	0.465579548
84	0.4654496373
85	0.4653297712
86	0.4652057478
87	0.4651139509
88	0.465
89	0.4649406529
90	0.4648407924
91	0.4647919085
92	0.4646962333
93	0.4646365234
94	0.4645530413
95	0.4644751953
96	0.4644026786
97	0.4642998605
98	0.4642511161
99	0.4641759487
100	0.4640698661
101	0.4640315848
102	0.463923856
103	0.4638765904
104	0.4638540458
105	0.4638001674
106	0.4637097656
107	0.4636407645
108	0.4635631138
109	0.4634761161
110	0.4633827009
111	0.4633457031
112	0.4632706194
113	0.4631921317
114	0.4631279297
115	0.4630547154
116	0.4629813616
117	0.4629020368
118	0.4628415737
119	0.4628116908
120	0.4627550781
121	0.4627272042
122	0.4626847656
123	0.4626168527
124	0.4625570033
125	0.4625376953
126	0.4624822266
127	0.4624202009
128	0.462315346
129	0.4622780971
130	0.4622362444
131	0.4622086775
132	0.4621842634
133	0.4621357143
134	0.4620819196
135	0.4620078683
136	0.461963923
137	0.4619154018
138	0.4618722377
139	0.4618323661
140	0.4617468192
141	0.4616684989
142	0.4615881138
143	0.461533817
144	0.4614732422
145	0.4614206752
146	0.4613376116
147	0.4613126953
148	0.4612830636
149	0.4612313337
150	0.4612013672
151	0.461167327
152	0.4610922433
153	0.4610498047
154	0.4610169364
155	0.4609722656
156	0.4609481864
157	0.4609290458
158	0.4608751395
159	0.4608555804
160	0.4608391462
161	0.4608107143
162	0.4607703683
163	0.4606900112
164	0.4606553013
165	0.460611356
166	0.4605993862
167	0.4605602121
168	0.4605354353
169	0.460506529
170	0.4604457031
171	0.4603805246
172	0.460345452
173	0.4602959821
174	0.4602598214
175	0.4602166574
176	0.4601888951
177	0.4601623047
178	0.4601133092
179	0.4600944196
180	0.4600214565
181	0.4599738281
182	0.4599115792
183	0.4598703683
184	0.4598238281
185	0.4597945033
186	0.4597453962
187	0.4597270089
188	0.459692885
189	0.459644308
190	0.459608231
191	0.4595722098
192	0.4595407645
193	0.4594888951
194	0.4594466518
195	0.459380971
196	0.4593349051
197	0.4592996373
198	0.4592485491
199	0.4591860491
200	0.459140904
201	0.4591119699
202	0.4590717634
203	0.4590288504
204	0.4589802455
205	0.4589558036
206	0.4589099051
207	0.4588638114
208	0.4588283761
209	0.4587873326
210	0.4587688058
211	0.4587438616
