iter	Passed	Remaining
573	30454	22602
574	30533	22568
575	30601	22526
576	30688	22497
577	30758	22456
578	30808	22401
579	30849	22339
580	30892	22278
581	30933	22216
582	30989	22166
583	31039	22110
584	31090	22055
585	31134	21995
586	31197	21949
587	31278	21916
588	31350	21875
589	31399	21820
590	31444	21761
591	31501	21710
592	31569	21667
593	31623	21614
594	31679	21563
595	31752	21523
596	31829	21486
597	31898	21443
598	31944	21385
599	32039	21359
600	32124	21327
601	32187	21279
602	32264	21242
603	32300	21177
604	32366	21131
605	32424	21081
606	32485	21032
607	32543	20982
608	32629	20949
609	32697	20904
610	32741	20845
611	32812	20802
612	32870	20751
613	32938	20707
614	33038	20682
615	33086	20625
616	33166	20587
617	33241	20547
618	33307	20501
619	33368	20451
620	33515	20454
621	33591	20414
622	33661	20369
623	33706	20310
624	33752	20251
625	33796	20191
626	33837	20129
627	33894	20077
628	33939	20018
629	33993	19964
630	34048	19911
631	34115	19864
632	34165	19808
633	34215	19752
634	34255	19690
635	34316	19640
636	34372	19587
637	34413	19526
638	34450	19462
639	34502	19407
640	34552	19351
641	34615	19303
642	34667	19248
643	34735	19201
644	34797	19152
645	34868	19107
646	34938	19062
647	34997	19011
648	35073	18969
649	35129	18916
650	35168	18853
651	35219	18798
652	35283	18749
653	35354	18704
654	35431	18662
655	35505	18618
656	35555	18562
657	35599	18503
658	35663	18454
659	35701	18391
660	35749	18334
661	35815	18286
662	35880	18237
663	35943	18188
664	36012	18141
665	36087	18097
666	36185	18065
667	36247	18015
668	36301	17960
669	36369	17913
670	36402	17848
671	36483	17807
672	36548	17758
673	36733	17767
674	36833	17734
675	36909	17690
676	36972	17639
677	37065	17603
678	37134	17555
679	37192	17502
680	37253	17450
681	37305	17394
682	37355	17337
683	37409	17282
684	37474	17232
685	37535	17180
686	37582	17122
687	37653	17075
688	37710	17021
689	37773	16970
690	37833	16918
691	37900	16868
692	37977	16824
693	38082	16791
694	38177	16754
695	38255	16709
696	38333	16664
697	38382	16606
698	38435	16550
699	38506	16502
700	38564	16449
701	38640	16402
702	38712	16355
703	38793	16310
704	38870	16264
705	38938	16215
706	39008	16166
707	39059	16109
708	39126	16059
709	39187	16006
710	39254	15955
711	39318	15903
712	39396	15858
713	39461	15806
714	39523	15753
715	39570	15695
716	39620	15638
717	39753	15613
718	39847	15573
719	39921	15524
720	40006	15481
721	40063	15426
722	40121	15371
723	40169	15313
724	40221	15256
725	40281	15202
726	40326	15143
727	40394	15092
728	40440	15033
729	40483	14973
730	40528	14914
731	40584	14858
732	40634	14801
733	40689	14745
734	40731	14685
735	40796	14633
736	40831	14570
737	40873	14510
738	40925	14454
739	40973	14396
740	41024	14339
741	41069	14280
742	41118	14222
743	41160	14162
744	41217	14108
745	41280	14055
746	41336	14000
747	41385	13942
748	41427	13882
749	41490	13830
750	41532	13770
751	41578	13712
752	41611	13649
753	41654	13590
754	41705	13533
755	41762	13478
756	41809	13421
757	41859	13364
758	41910	13307
759	41957	13249
760	42001	13191
761	42036	13129
762	42093	13075
763	42143	13018
764	42196	12962
765	42239	12903
766	42289	12846
767	42324	12785
768	42433	12746
769	42495	12693
770	42549	12638
771	42595	12580
772	42648	12524
773	42682	12462
774	42732	12406
775	42787	12351
776	42842	12295
777	42888	12238
778	42929	12178
779	42974	12121
780	43020	12063
781	43080	12009
782	43125	11951
783	43181	11896
784	43221	11837
785	43265	11779
786	43341	11730
787	43405	11677
788	43486	11629
789	43541	11574
790	43619	11525
791	43667	11468
792	43719	11412
793	43826	11370
794	43901	11320
795	43994	11275
796	44063	11223
797	44137	11172
798	44207	11121
799	44277	11069
800	44366	11022
801	44440	10971
802	44498	10916
803	44569	10865
804	44629	10810
805	44686	10755
806	44737	10699
807	44793	10644
808	44830	10584
809	44872	10525
810	44926	10469
811	44986	10415
812	45024	10356
813	45062	10296
814	45112	10240
815	45164	10184
816	45201	10124
817	45311	10081
818	45363	10025
819	45429	9972
820	45467	9913
821	45524	9858
822	45577	9802
823	45627	9745
824	45720	9698
825	45790	9645
826	45852	9591
827	45903	9535
828	45971	9482
829	46030	9427
830	46080	9371
831	46126	9314
832	46173	9256
833	46226	9200
834	46294	9147
835	46362	9095
836	46423	9040
837	46489	8987
838	46563	8935
839	46617	8879
840	46689	8827
841	46755	8773
842	46823	8720
843	46910	8670
844	46975	8616
845	47047	8564
846	47123	8512
847	47190	8458
848	47250	8403
849	47303	8347
850	47354	8291
851	47413	8236
852	47477	8182
853	47558	8130
854	47634	8078
855	47696	8023
856	47781	7972
857	47834	7916
858	47922	7866
859	48091	7828
860	48168	7776
861	48230	7721
862	48272	7663
863	48314	7605
864	48358	7547
865	48408	7490
866	48445	7431
867	48529	7380
868	48599	7326
869	48693	7276
870	48769	7223
871	48846	7170
872	48932	7118
873	49008	7065
874	49070	7010
875	49156	6958
876	49225	6903
877	49299	6850
878	49342	6792
879	49388	6734
880	49445	6678
881	49502	6622
882	49556	6566
883	49618	6511
884	49675	6454
885	49736	6399
886	49806	6345
887	49894	6292
888	49982	6240
889	50068	6188
890	50149	6134
891	50232	6081
892	50315	6028
893	50401	5975
894	50480	5922
895	50669	5881
896	50735	5825
897	50812	5771
898	50920	5720
899	50968	5663
900	51026	5606
901	51076	5549
902	51168	5496
903	51280	5445
904	51382	5393
905	51451	5338
906	51536	5284
907	51593	5227
908	51635	5169
909	51687	5111
910	51734	5054
911	51787	4996
912	51835	4939
913	51883	4881
914	51950	4825
915	52007	4769
916	52067	4712
917	52109	4654
918	52165	4597
919	52236	4542
920	52292	4485
921	52371	4430
922	52435	4374
923	52520	4319
924	52565	4262
925	52608	4204
926	52658	4146
927	52722	4090
928	52779	4033
929	52843	3977
930	52893	3920
931	52976	3865
932	53046	3809
933	53110	3753
934	53179	3696
935	53295	3644
936	53503	3597
937	53612	3543
938	53719	3489
939	53826	3435
940	53907	3379
941	54002	3324
942	54089	3269
943	54174	3213
944	54224	3155
945	54321	3100
946	54397	3044
947	54496	2989
948	54569	2932
949	54631	2875
950	54704	2818
951	54753	2760
952	54800	2702
953	54850	2644
954	54921	2587
955	54997	2531
956	55076	2474
957	55135	2417
958	55209	2360
959	55276	2303
960	55390	2247
961	55457	2190
962	55631	2137
963	55690	2079
964	55777	2023
965	55902	1967
966	55993	1910
